time,FL1,FL6,TL14s1,TA21s1
10.9273,242.1988,242.1777,443.0736,581.3201
11.0273,242.1988,242.1777,443.0736,581.3201
11.1273,242.1989,242.1777,443.0736,581.3201
11.2273,242.1988,242.1777,443.0736,581.3201
11.3273,242.1988,242.1777,443.0736,581.3201
11.4273,242.1988,242.1777,443.0736,581.3201
11.5273,242.1988,242.1777,443.0736,581.3201
11.6273,242.1988,242.1777,443.0736,581.3201
11.7273,242.1988,242.1777,443.0736,581.3201
11.8273,242.1988,242.1777,443.0736,581.3201
11.9273,242.1988,242.1777,443.0736,581.3201
12.0273,242.1988,242.1777,443.0736,581.3201
12.1273,242.1988,242.1777,443.0736,581.3201
12.2273,242.1988,242.1777,443.0736,581.3201
12.3273,242.1988,242.1777,443.0736,581.3201
12.4273,242.1989,242.1777,443.0736,581.3201
12.5273,242.1988,242.1777,443.0736,581.3201
12.6273,242.1988,242.1777,443.0736,581.3201
12.7273,242.1988,242.1777,443.0736,581.3201
12.8273,242.1988,242.1777,443.0736,581.3201
12.9273,242.1988,242.1777,443.0736,581.3201
13.0273,242.1988,242.1777,443.0736,581.3201
13.1273,242.1988,242.1777,443.0736,581.3201
13.2273,242.1988,242.1777,443.0736,581.3201
13.3273,242.1988,242.1777,443.0736,581.3201
13.4273,242.1988,242.1777,443.0736,581.3201
13.5273,242.1988,242.1777,443.0736,581.3201
13.6273,242.1988,242.1777,443.0736,581.3201
13.7273,242.1989,242.1777,443.0736,581.3201
13.8273,242.1988,242.1777,443.0736,581.3201
13.9273,242.1988,242.1777,443.0736,581.3201
14.0273,242.1988,242.1777,443.0736,581.3201
14.1273,242.1988,242.1777,443.0736,581.3201
14.2273,242.1988,242.1777,443.0736,581.3201
14.3273,242.1988,242.1777,443.0736,581.3201
14.4273,242.1988,242.1777,443.0736,581.3201
14.5273,242.1988,242.1777,443.0736,581.3201
14.6273,242.1988,242.1777,443.0736,581.3201
14.7273,242.1988,242.1777,443.0736,581.3201
14.8273,242.1988,242.1777,443.0736,581.3201
14.9273,242.1988,242.1777,443.0736,581.3201
15.0273,242.1989,242.1777,443.0736,581.3201
15.1273,242.1988,242.1777,443.0736,581.3201
15.2273,242.1988,242.1777,443.0736,581.3201
15.3273,242.1988,242.1777,443.0736,581.3201
15.4273,242.1988,242.1777,443.0736,581.3201
15.5273,242.1988,242.1777,443.0736,581.3201
15.6273,242.1988,242.1777,443.0736,581.3201
15.7273,242.1988,242.1777,443.0736,581.3201
15.8273,242.1988,242.1777,443.0736,581.3201
15.9273,242.1988,242.1777,443.0736,581.3201
16.0273,242.1988,242.1777,443.0736,581.3201
16.1273,242.1988,242.1777,443.0736,581.3201
16.2273,242.1989,242.1777,443.0735,581.3201
16.3273,242.1989,242.1777,443.0735,581.3201
16.4273,242.1988,242.1777,443.0735,581.3201
16.5273,242.1988,242.1777,443.0735,581.3201
16.6273,242.1988,242.1777,443.0735,581.3201
16.7273,242.1988,242.1777,443.0735,581.3201
16.8273,242.1989,242.1777,443.0735,581.3201
16.9273,242.1988,242.1777,443.0735,581.3201
17.0273,242.1988,242.1777,443.0735,581.3201
17.1273,242.1988,242.1777,443.0735,581.3201
17.2273,242.1988,242.1777,443.0735,581.3201
17.3273,242.1988,242.1777,443.0735,581.3201
17.4273,242.1988,242.1777,443.0735,581.3201
17.5273,242.1988,242.1777,443.0735,581.3201
17.6273,242.1989,242.1777,443.0735,581.3201
17.7273,242.1988,242.1777,443.0735,581.3201
17.8273,242.1988,242.1777,443.0735,581.3201
17.9273,242.1988,242.1777,443.0735,581.3201
18.0273,242.1988,242.1777,443.0735,581.3201
18.1273,242.1988,242.1777,443.0735,581.3201
18.2273,242.1988,242.1777,443.0735,581.3201
18.3273,242.1988,242.1777,443.0735,581.3201
18.4273,242.1988,242.1777,443.0735,581.3201
18.5273,242.1988,242.1777,443.0735,581.3201
18.6273,242.1988,242.1777,443.0735,581.3201
18.7273,242.1988,242.1777,443.0735,581.3201
18.8273,242.1989,242.1777,443.0735,581.3201
18.9273,242.1989,242.1777,443.0735,581.3201
19.0273,242.1988,242.1777,443.0735,581.3201
19.1273,242.1988,242.1777,443.0735,581.3201
19.2273,242.1988,242.1777,443.0735,581.3201
19.3273,242.1988,242.1777,443.0735,581.3201
19.4273,242.1988,242.1777,443.0735,581.3201
19.5273,242.1988,242.1777,443.0735,581.3201
19.6273,242.1988,242.1777,443.0735,581.3201
19.7273,242.1988,242.1777,443.0735,581.3201
19.8273,242.1988,242.1777,443.0735,581.3201
19.9273,242.1988,242.1777,443.0735,581.3201
20.0273,242.1988,242.1777,443.0735,581.3201
20.1273,242.1977,242.1781,443.0735,581.3201
20.2273,242.1923,242.18,443.0735,581.3201
20.3273,242.1813,242.184,443.0735,581.3203
20.4273,242.1644,242.1901,443.0735,581.3208
20.5273,242.1419,242.1984,443.0735,581.3217
20.6273,242.1142,242.2085,443.0735,581.323
20.7273,242.0817,242.2202,443.0735,581.3249
20.8273,242.0449,242.2335,443.0736,581.3274
20.9273,242.0043,242.2479,443.0736,581.3302
21.0273,241.9603,242.2635,443.0737,581.3336
21.1273,241.9132,242.2801,443.0739,581.3372
21.2273,241.8634,242.2975,443.0741,581.3412
21.3273,241.8112,242.3157,443.0744,581.3455
21.4273,241.7568,242.3345,443.0748,581.35
21.5273,241.7005,242.3539,443.0753,581.3547
21.6273,241.6424,242.3738,443.0758,581.3596
21.7273,241.5829,242.3941,443.0764,581.3646
21.8273,241.522,242.4149,443.0772,581.3697
21.9273,241.4599,242.4359,443.078,581.3749
22.0273,241.3967,242.4573,443.0789,581.3801
22.1273,241.3326,242.4789,443.0799,581.3855
22.2273,241.2676,242.5007,443.081,581.3909
22.3273,241.2018,242.5228,443.0822,581.3962
22.4273,241.1354,242.545,443.0835,581.4016
22.5273,241.0684,242.5674,443.085,581.4071
22.6273,241.0008,242.5899,443.0864,581.4125
22.7273,240.9328,242.6126,443.088,581.4179
22.8273,240.8643,242.6353,443.0897,581.4233
22.9273,240.7955,242.6582,443.0915,581.4288
23.0273,240.7263,242.6811,443.0934,581.4341
23.1273,240.6568,242.7041,443.0954,581.4395
23.2273,240.5871,242.7272,443.0975,581.4449
23.3273,240.5171,242.7503,443.0996,581.4503
23.4273,240.4469,242.7735,443.1019,581.4556
23.5273,240.3765,242.7968,443.1042,581.4608
23.6273,240.306,242.82,443.1067,581.4661
23.7273,240.2353,242.8434,443.1092,581.4713
23.8273,240.1644,242.8667,443.1118,581.4764
23.9273,240.0934,242.8901,443.1145,581.4816
24.0273,240.0223,242.9135,443.1172,581.4867
24.1273,239.9511,242.9369,443.12,581.4917
24.2273,239.8798,242.9603,443.123,581.4967
24.3273,239.8085,242.9838,443.126,581.5017
24.4273,239.737,243.0073,443.129,581.5066
24.5273,239.6655,243.0308,443.1322,581.5115
24.6273,239.5939,243.0543,443.1354,581.5163
24.7273,239.5223,243.0778,443.1387,581.5211
24.8273,239.4506,243.1013,443.142,581.5259
24.9273,239.3788,243.1249,443.1454,581.5306
25.0273,239.307,243.1484,443.1489,581.5353
25.1273,239.2352,243.172,443.1524,581.54
25.2273,239.1633,243.1956,443.156,581.5446
25.3273,239.0914,243.2192,443.1597,581.5491
25.4273,239.0195,243.2427,443.1634,581.5537
25.5273,238.9475,243.2663,443.1672,581.5582
25.6273,238.8755,243.2899,443.171,581.5626
25.7273,238.8034,243.3135,443.1749,581.567
25.8273,238.7314,243.3372,443.1788,581.5714
25.9273,238.6593,243.3608,443.1828,581.5757
26.0273,238.5871,243.3844,443.1869,581.58
26.1273,238.515,243.408,443.191,581.5843
26.2273,238.4428,243.4316,443.1951,581.5885
26.3273,238.3707,243.4553,443.1993,581.5927
26.4273,238.2984,243.4789,443.2035,581.5968
26.5273,238.2262,243.5025,443.2078,581.601
26.6273,238.154,243.5262,443.2121,581.605
26.7273,238.0817,243.5499,443.2165,581.609
26.8273,238.0094,243.5735,443.2209,581.613
26.9273,237.9371,243.5971,443.2253,581.617
27.0273,237.8648,243.6208,443.2298,581.621
27.1273,237.7924,243.6445,443.2344,581.6248
27.2273,237.72,243.6681,443.2389,581.6287
27.3273,237.6476,243.6918,443.2435,581.6325
27.4273,237.5752,243.7155,443.2482,581.6363
27.5273,237.5028,243.7392,443.2528,581.64
27.6273,237.4304,243.7628,443.2575,581.6437
27.7273,237.3579,243.7865,443.2622,581.6474
27.8273,237.2854,243.8102,443.267,581.6511
27.9273,237.2129,243.8338,443.2718,581.6547
28.0273,237.1404,243.8575,443.2766,581.6583
28.1273,237.0679,243.8812,443.2815,581.6618
28.2273,236.9954,243.9049,443.2864,581.6653
28.3273,236.9228,243.9286,443.2913,581.6688
28.4273,236.8502,243.9523,443.2962,581.6722
28.5273,236.7776,243.976,443.3012,581.6757
28.6273,236.705,243.9997,443.3062,581.6791
28.7273,236.6323,244.0235,443.3112,581.6824
28.8273,236.5596,244.0472,443.3162,581.6857
28.9273,236.487,244.0709,443.3213,581.689
29.0273,236.4143,244.0946,443.3263,581.6922
29.1273,236.3416,244.1183,443.3315,581.6955
29.2273,236.2688,244.142,443.3366,581.6987
29.3273,236.1961,244.1658,443.3417,581.7018
29.4273,236.1234,244.1895,443.3469,581.7049
29.5273,236.0506,244.2132,443.3521,581.708
29.6273,235.9778,244.237,443.3573,581.7111
29.7273,235.905,244.2607,443.3625,581.7141
29.8273,235.8321,244.2845,443.3678,581.7171
